"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,2400,2400,2411,2460,2467.5,2500,2500,2400,2450,2495,2485,2450,2450,2395,2400,2400,2400,2400,2350,2250,2295,2250,2200,2250,2295,2300,2245,2300,2300,2231.5,2200,2202.5,2195,2166,2100,2100,2150,2195,2200,2200,2200,2200,2200,2250,2289.5,2200,2300,2200,2200,2200,2250,2300,2400,2492.5,2495,2500,2495,2500,2500,2587.5,2500,2550,2700,2725,2750,2799.5,2795,2800,2800,2800,2800,2800,2850,2895,2800,2831.5,2850,2878,2800,2900,2750,2895,2700,2850,2950,3000,3053,3100,3150,3100,3000,3000,3000,3000,3000,3000,3000,3000,3100,3150,3195,3195,3200,3135.5,3145,3195,3195,3150,3195,3150,3200
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,1747.5,1650,1695,1585,1550,1650,1650,1747,1750,1795,1650,1600,1650,1700,1797,1800,1710,1750,1795,1700,1650,1595,1550,1575,1600,1650,1600,1600,1650,1650,1650,1625,1600,1550.5,1595,1581,1595,1650,1600,1700,1750,1800,1700,1675,1675,1650,1694,1625,1625,1650,1700,1795,1895,1950,1800,1800,1800,1695,1650,1650,1700,1750,1800,1850,1900,1895,1850,1840,1800,1850,1727.5,1700,1800,1775,1800,1895,1925,1900,1875,1800,1750,1700,1675,1660,1700,1800,1900,2000,2000,2000,1950,1895,1825,1795,1785,1800,1840,1925,1999,2085,2100,2095,1995,1950,1900,1900,1890,1875,1900,2000,2100
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,1300,1300,1300,1292.5,1295,1250,1225,1200,1200,1200,1215,1217.5,1202.5,1250,1200,1200,1250,1250,1250,1250,1070,1250,1300,1225,1250,1295,1295,1350,1275,1350,1300,1364.5,1365,1400,1350,1370,1325,1319.5,1350,1400,1400,1411,1425,1400,1425,1450,1450,1450,1450,1500,1525,1549.5,1525,1500,1500,1500,1500,1500,1525,1525,1550,1582.5,1600,1575,1550,1500,1545,1500,1495,1495,1450,1495,1500,1500,1539,1550,1550,1550,1550,1550,1510,1550,1525,1530,1540,1550,1575,1595,1600,1599,1595,1573.5,1550,1550,1550,1550,1550,1575,1600
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,1050,1095,1148.5,1149.5,1100,1095,1100,1100,1099,1075,1051,1053.5,1095,1099,1100,1095,1100,1079,1066,1100,1099,1097,1097,1100,1099,1100,1099,1105,1100,1100,1100,1100,1095,1095,1100,1100,1095,1095,1115,1182.5,1172,1150,1155,1161,1175,1165,1175,1175,1200,1202.5,1220,1220,1226.5,1250,1265,1240,1242,1210,1324,1320,1302.5,1295,1315,1295,1295,1255.5,1273.5,1300,1239,1265,1200,1295,1309,1395,1420,1410,1395,1397,1399.5,1398.5,1375,1378,1370,1379,1395,1408.5,1431,1485.5,1495,1475,1490,1464,1502,1499,1483,1510,1550,1570,1597
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,2700,2700,2700,2395,2350,2295,2300,2300,2295,2200,2125,2100,2140,2100,2100,2100,2100,2100,2000,2045,2100,2143,2100,2100,2095,2095,2000,2000,2000,2054.5,2100,2100,2150,2195,2195,2200,2200,2150,2200,2200,2195,2150,2195,2295,2300,2295,2345,2350,2350,2399,2395,2395,2400,2400,2400,2400,2400,2400,2400,2400,2400,2450,2495,2500,2500,2500,2500,2500,2550,2595,2500,2500,2495,2481.5,2450,2500,2600,2650,2700,2750,2750,2750,2789,2731,2700,2700,2700,2700,2700,2750,2800,2800,2800,2849,2850,2800,2771.5,2774,2800,2795,2800,2800,2900
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,2580,2695,2697.5,2650,2700,2750,2700,2525,2600,2600,2500,2500,2500,2600,2600,2600,2600,2600,2590,2550,2500,2550,2500,2550,2500,2500,2597,2550,2580,2600,2550,2500,2500,2500,2500,2550,2595,2600,2650,2650,2650,2600,2700,2700,2695,2700,2695,2677.5,2650,2650,2750,2800,2800,2795,2775,2795,2800,2795,2800,2800,2800,2845,2850,2900,2900,2900,2899,2870,2865,2900,2900,2942.5,2950,2900,2950,2925,2900,2900,2912.5,2895,2950,2875,2950,3000,3100,3100,3145,3150,3150,3112.5,3140,3195,3200,3186,3150,3195,3195,3200,3200,3200,3195,3150,3195,3200,3195,3200,3200,3200,3250,3250
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,2000,2000,1962.5,1900,1962.5,1800,1800,1850,1800,1900,2095,2100,2100,2100,2100,2100,2100,2197.5,2175,2200,2200,2200,2200,2300,2300,2397,2300,2295,2300,2375,2385,2400,2450,2600,2699,2700,2700,2700,2600,2600,2600,2600,2595,2599,2600,2600,2700,2695,2700,2700,2700,2700,2600,2650,2700,2695,2700,2800,2800,2800,2850,2850,2800,2800,2800,2800,2800,2800,2895,2900,2900,2975,2999,3000,3100,3000,2750,2799,2595,2595,2699,2704,2750,2800,2800,2700,2699,2600,2600,2595,2549,2575,2700,2750,2799,2800,2800,2749,2700,2650,2599,2599,2600,2600,2650
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,2400,2100,2125,1900,1950,1995,1950,2000,2000,2000,1995,2000,1990,1900,1900,1900,1969.5,2000,1999,1950,2000,1990,1900,1877.5,1900,1850,1875,1900,1900,1950,1900,2000,2000,2200,2000,2000,2000,2100,2100,2027.5,2050,2000,2000,2150,2100,2200,2132,2154,2150,2000,2000,2100,2200,2300,2300,2300,2350,2450,2400,2250,2300,2350,2350,2400,2400,2400,2350,2400,2350,2400,2300,2300,2300,2350,2200,2250,2300,2300,2400,2400,2399,2400,2400,2450,2402,2400,2400,2400,2400,2400,2500,2500,2500,2500,2450,2400,2450,2450,2450,2450,2450,2450,2500
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,1250,1250,1295,1250,1285,1297,1337.5,1250,1250,1250,1195,1200,1200,1200,1200,1200,1195,1175,1150,1150,1195,1195,1195,1200,1195,1200,1225,1200,1199,1195,1175,1195,1200,1299,1250,1270,1255,1295,1252,1251,1250,1250,1295,1295,1300,1275,1250,1259,1295,1350,1300,1300,1300,1300,1295,1300,1300,1345,1350,1395,1395,1395,1395,1399,1450,1350,1350,1350,1387,1400,1399.5,1450,1450,1499,1450,1450,1450,1495,1450,1459.5,1450,1495,1500,1550,1600,1650,1675,1650,1600,1600,1595,1600,1600,1600,1600,1650,1687.5,1683,1695,1695,1650,1600,1636,1645,1650,1670,1690,1699,1759
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,1750,1750,1800,1800,1800,1750,1700,1777.5,1800,1775,1800,1800,1780,1800,1800,1800,1900,1875,1900,1900,1850,1800,1800,1850,1800,1850,1895,1900,1900,1950,1900,1900,1900,1900,1950,1950,2000,2000,2000,2100,2150,2200,2200,2300,2350,2400,2350,2300,2300,2300,2399,2492.5,2500,2500,2400,2450,2400,2400,2400,2400,2400,2400,2400,2500,2500,2500,2580,2550,2500,2500,2500,2500,2600,2650,2700,2700,2750,2750,2700,2700,2700,2750,2600,2500,2500,2475,2500,2500,2500,2500,2500,2500,2500,2500,2449,2450,2495,2500,2500,2500,2500,2500,2500,2500,2500,2500,2495,2500,2500,2500,2500
